Ob,CASE_STATUS,CASE_SUBMITTED,DECISION_DATE,VISA_CLASS,EMPLOYMENT_START_DATE,EMPLOYMENT_END_DATE,EMPLOYER_NAME,EMPLOYER_BUSINESS_DBA,EMPLOYER_ADDRESS,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,AGENT_REPRESENTING_EMPLOYER,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_NAME,NAICS_CODE,TOTAL_WORKERS,NEW_EMPLOYMENT,CONTINUED_EMPLOYMENT,CHANGE_PREVIOUS_EMPLOYMENT,NEW_CONCURRENT_EMPLOYMENT,CHANGE_EMPLOYER,AMENDED_PETITION,FULL_TIME_POSITION,PREVAILING_WAGE,PW_UNIT_OF_PAY,PW_WAGE_LEVEL,PW_SOURCE,PW_SOURCE_YEAR,PW_SOURCE_OTHER,WAGE_RATE_OF_PAY_FROM,WAGE_RATE_OF_PAY_TO,WAGE_UNIT_OF_PAY,H1B_DEPENDENT,WILLFUL_VIOLATOR,SUPPORT_H1B,LABOR_CON_AGREE,PUBLIC_DISCLOSURE_LOCATION,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,ORIGINAL_CERT_DATE
11,DENIED,1/10/2017,1/12/2017,E-3 Australian,3/22/2017,3/22/2019,APPAREL PARTNERSHIP GROUP LLC,,"231 W 39TH STREET, SUITE 601",NEW YORK,NY,10018,UNITED STATES OF AMERICA,,2123027722,,N,",",,,SALES & DESIGN COORDINATOR,41-9099,"SALES AND RELATED WORKERS, ALL OTHER",4243,1,0,0,1,0,0,0,Y,48000,Year,,OES,2017,,48000,0,Year,,,,,NA,NEW YORK,NEW YORK,NY,10018,
12,DENIED,4/1/2017,4/5/2017,H-1B,10/1/2017,9/30/2020,"ABC IMAGING OF WASHINGTON, INC.",,5290 SHAWNEE ROAD,ALEXANDRIA,VA,22312,UNITED STATES OF AMERICA,,2024298870,,Y,"BOCSKOR, CATHERINE",SILVER SPRING,MD,SYSTEMS ENGINEER,15-1142,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,323115,1,0,1,0,0,0,0,Y,83221,Year,Level II,OES,2017,,105000,0,Year,N,N,,Y,NA,ALEXANDRIA,FAIRFAX,VA,22312,
13,DENIED,9/12/2017,9/14/2017,H-1B,2/14/2018,2/13/2021,"AVVENTIS, INC.",,1656 OAK TREE ROAD,EDISON,NJ,8820,,,,,,",",,,IT CONSULTANT (SAP QA),15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541511,1,0,1,0,0,0,0,Y,90002,Year,,OES,2017,OFLC ONLINE  DATA CENTER,90002,0,Year,Y,N,Y,,NA,HOUSTON,HARRIS,TX,77079,
14,DENIED,12/4/2015,6/16/2017,H-1B,12/14/2015,12/13/2018,IBM CORPORATION,,3039 E CORNWALLIS ROAD,DURHAM,NC,27709,UNITED STATES OF AMERICA,,9192544342,,N,",",,,SENIOR MANAGING CONSULTANT,15-1121,COMPUTER SYSTEMS ANALYSTS,541510,1,0,0,0,0,0,1,Y,82763,Year,Level II,OES,2015,OFLC ONLINE DATA CENTER,136672.8,215000.4,Year,N,N,,,NA,SPRING,MONTGOMERY,TX,77382,
15,DENIED,9/25/2017,9/25/2017,H-1B,10/30/2017,10/30/2020,INCEDO INC.,,2350 MISSION COLLEGE BLVD,SANTA CLARA,CA,95054,,,,,,",",,,SENIOR TECHNICAL ARCHITECT,15-1199,"COMPUTER OCCUPATIONS, ALL OTHER",541512,1,1,0,0,0,0,0,Y,88317,Year,,OES,2017,OFLC ONLINE DATA CENTER,88317,0,Year,Y,N,Y,Y,NA,EDISON,NEW JERSEY,NJ,8837,
16,DENIED,12/9/2016,12/9/2016,H-1B,12/19/2016,9/9/2019,ICONIX LABS INC,,9901 E VALLEY RANCH PKWY STE 1030,IRVING,TX,75063,UNITED STATES OF AMERICA,,9725252394,,N,",",,,DATABASE ADMINISTRATORS,15-1141,DATABASE ADMINISTRATORS,541511,1,0,0,0,0,0,1,Y,59218,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,60000,0,Year,Y,N,Y,Y,NA,EL SEGUNDO,LOS ANGELES,CA,90245,
17,DENIED,3/1/2017,3/1/2017,H-1B,8/31/2017,8/30/2020,"ANS CONSULTANTS, INC.",,4405 SOUTH CLINTON AVE.,SOUTH PLAINFIELD,NJ,7080,UNITED STATES OF AMERICA,,9087548383,,Y,"HECKLER, ALAN",MANALAPAN,NJ,SOFTWARE DEVELOPER,17-2051,CIVIL ENGINEERS,541330,1,1,0,0,0,0,0,Y,62171,Year,Level I,Other,2016,ONLINE WAGE LIBRARY,62171,0,Year,N,N,,Y,NA,SOUTH PLAINFIELD,MIDDLESEX,NJ,7080,
18,DENIED,6/27/2017,6/27/2017,H-1B,7/17/2017,7/16/2020,FAST SWITCH LTD.,,4900 BLAZER PARKWAY,DUBLIN,OH,43017,UNITED STATES OF AMERICA,,6143361122,,Y,"JACOB, SHAJU",TROY,MI,J2EE DEVELOPMENT SENIOR,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",54151,1,0,0,0,0,1,0,Y,45.3,Hour,Level III,OES,2016,OFLC ONLINE DATA CENTER,48.5,0,Hour,N,N,,,NA,DEARBORN,WAYNE,MI,48121,
19,DENIED,2/25/2014,2/16/2017,H-1B,7/28/2014,7/27/2017,CUMMINS INC.,,2931 ELM HILL PIKE,NASHVILLE,TN,37214,UNITED STATES OF AMERICA,,6159862590,,Y,"PETERSON-ROSS, CHERI",CHICAGO,IL,FINANCE SYSTEMS ANALYST,13-2051,FINANCIAL ANALYSTS,3336,1,1,0,0,0,0,0,Y,46197,Year,Level I,OES,2013,OFLC ONLINE DATA CENTER,49000,72100,Year,N,N,,,NA,COLUMBUS,BARTHOLOMEW,IN,47201,
20,DENIED,6/7/2017,6/7/2017,H-1B,6/7/2017,6/6/2020,WIPRO LIMITED,,2 TOWER CENTER BLVD,EAST BRUNSWICK,NJ,8816,UNITED STATES OF AMERICA,,7325091586,,N,",",,,PROJECT MANAGER,15-1199,"COMPUTER OCCUPATIONS, ALL OTHER",541511,1,0,0,0,0,0,1,Y,65666,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,65666,0,Year,Y,N,Y,N,NA,REDMOND,KING,WA,98052,
21,DENIED,11/10/2016,11/16/2016,H-1B,11/17/2016,11/16/2019,"TRW AUTOMOTIVE, INC.",,12001 TECH CENTER DRIVE,LIVONIA,MI,48150,UNITED STATES OF AMERICA,,7348552673,,Y,"TEREBELO, MICHAL",TROY,MI,ALGORITHM PRODUCT ENGINEER,17-2072,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER",336111,1,0,0,0,0,1,0,Y,74381,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,82500,0,Year,N,N,,,NA,FARMINGTON HILLS,OAKLAND,MI,48331,
22,DENIED,3/10/2017,3/16/2017,H-1B,6/16/2017,2/15/2018,PORTLAND STATE UNIVERSITY,,OFFICE OF INTERNATIONAL AFFAIRS,PORTLAND,OR,97201,UNITED STATES OF AMERICA,,5037254094,,N,",",,,ASSISTANT PROFESSOR OF PRACTICE,25-1113,"SOCIAL WORK TEACHERS, POSTSECONDARY",611310,1,0,1,0,0,0,0,Y,58545,Year,,CBA,2016,,58545,0,Year,N,N,,,NA,PORTLAND,MULTNOMAH,OR,97201,
23,DENIED,6/7/2017,6/7/2017,H-1B,6/20/2017,6/19/2020,CENTRAPRISE CORP,,3 ETHEL ROAD,EDISON,NJ,8817,UNITED STATES OF AMERICA,,7329603333,401,Y,"ALLEN, THOMAS",EDISON,NJ,SR. BUILD & RELEASE ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541511,1,0,0,0,0,0,1,Y,90106,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,91000,0,Year,Y,N,Y,Y,NA,FORT WORTH,TARRANT,TX,76155,
24,DENIED,12/2/2016,12/6/2016,H-1B,4/7/2017,4/7/2020,DINERS CLUB INTERNATIONAL INC.,,2500 LAKE COOK ROAD,RIVERWOODS,IL,60015,UNITED STATES OF AMERICA,,2244051865,,Y,"ELLSWORTH, CHAD",NEW YORK,NY,ASSOCIATE PROGRAMMER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",522210,1,0,1,0,0,0,0,Y,167482,Year,Level IV,OES,2016,OFLC ONLINE DATA CENTER,66830,74000,Year,N,N,,Y,NA,RIVERWOODS,LAKE,IL,60015,
25,DENIED,11/3/2016,12/30/2016,E-3 Australian,11/3/2016,11/2/2018,HYR GLOBAL SOURCE INC.,,14325 NIEMAN RD,OVERLAND PARK,KS,66221,UNITED STATES OF AMERICA,,9138152597,,Y,"SHARMA, CHANDLER",NEW YORK,NY,BUSINESS ANALYST ERP SUPPLY CHAIN,15-1121,COMPUTER SYSTEMS ANALYSTS,541512,1,1,0,0,0,0,0,Y,54558,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,57658,0,Year,,,,,NA,TULSA,TULSA,OK,74103,
26,DENIED,3/22/2017,3/27/2017,H-1B,9/21/2017,9/20/2020,SSD INC.,,11 BROADWAY SUITE 819,NEW YORK,NY,10006,UNITED STATES OF AMERICA,,2122487500,,Y,"GREEN, RICHARD",IRVINE,CA,ARCHITECTURAL DESIGNER,17-1011,"ARCHITECTS, EXCEPT LANDSCAPE AND NAVAL",541310,1,1,0,0,0,0,0,Y,57096,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,58000,62000,Year,N,N,,,NA,NEW YORK,NEW YORK,NY,10006,
27,DENIED,8/8/2017,8/9/2017,H-1B,9/18/2017,9/17/2020,INDIANA UNIV. PURDUE UNIV. INDIANAPOLIS,,C/O OFF. OF INTL AFFAIRS,INDIANAPOLIS,IN,46202,,,,,,",",,,ASSISTANT SCIENTIST,17-2031,BIOMEDICAL ENGINEERS,611310,1,0,0,0,0,1,0,Y,65603,Year,,OES,2017,OFLC ONLINE DATA CENTER,62317,0,Year,N,N,,Y,NA,INDIANAPOLIS,MARION,IN,46202,
28,DENIED,3/10/2017,3/13/2017,H-1B,9/6/2017,9/6/2020,MAXOTECH SOLUTIONS LLC,,1920 MCKINNEY AVE,DALLAS,TX,75201,UNITED STATES OF AMERICA,,2162125823,,N,",",,,PROGRAMMER ANALYST,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",54169,1,1,0,0,0,0,0,Y,68827,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,68827,75000,Year,N,N,Y,,NA,DALLAS,DALLAS,TX,75201,
29,DENIED,4/14/2017,4/19/2017,H-1B,4/17/2017,4/17/2020,"ITELLIGENCE, INC.",,10856 REED HARTMAN HIGHWAY,CINCINNATI,OH,45242,UNITED STATES OF AMERICA,,5139562000,,Y,"MUSILLO, CHRISTOPHER",CINCINNATI,OH,SENIOR SAP CONSULTANT,15-1121,COMPUTER SYSTEMS ANALYSTS,541512,40,8,8,8,0,8,8,Y,102461,Year,Level IV,OES,2016,OFLC ONLINE DATA CENTER,102461,0,Year,N,N,,,NA,AURORA,DUPAGE,IL,60504,
30,DENIED,11/21/2014,1/31/2017,H-1B,5/21/2015,5/20/2018,IBM INDIA PRIVATE LIMITED,,3039 CORNWALLIS ROAD,DURHAM,NC,27709,UNITED STATES OF AMERICA,,9192541517,,N,",",,,ADVISORY SYSTEM ANALYST,15-1131,COMPUTER PROGRAMMERS,541510,1,1,0,0,0,0,0,Y,59467,Year,Level II,OES,2014,OFLC ONLINE DATACENTER,64979,67350,Year,N,N,,,NA,BENTONVILLE,BENTON,AR,72712,
31,DENIED,3/8/2016,7/27/2017,H-1B,9/6/2016,9/5/2019,MOTION INSIGHT LLC,,1304 W. OLTORF STREET,AUSTIN,TX,78704-5333,,,,,,",",,,DEPLOYMENT MANAGER,17-2112,INDUSTRIAL ENGINEERS,511210,1,1,0,0,0,0,0,Y,63700,Year,,Other,2015,"2015 TOWERS WATSON ENGINEERING, DESIGN AND TECHNICAL SPECIALTY COMPENSATION SU",63700,0,Year,N,N,,,NA,AUSTIN,TRAVIS,TX,78704,
32,DENIED,3/16/2017,3/20/2017,H-1B,9/12/2017,9/12/2020,BRACKET GLOBAL LLC,BRACKET GLOBAL,303 2ND STREET,SAN FRANCISCO,CA,94107,UNITED STATES OF AMERICA,,4152931340,,Y,"PLOTKIN, NORMAN",SAN FRANCISCO,CA,SENIOR SOFTWARE QUALITY ASSURANCE ANALYST,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",5417,1,1,0,0,0,0,0,Y,83346,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,90677,90677,Year,N,N,,,NA,SAN DIEGO,SAN DIEGO,CA,92121,
33,DENIED,9/22/2015,7/19/2017,H-1B,9/29/2015,9/28/2018,IBM CORPORATION,,3039 CORNWALLIS ROAD,DURHAM,NC,27709,,,,,,",",,,MANAGIING CONSULTANT,15-1199,"COMPUTER OCCUPATIONS, ALL OTHER",541510,1,0,0,0,0,1,0,Y,74110,Year,,OES,2015,OFLC ONLINE DATA CENTER,107140.8,182340,Year,N,N,,,NA,ATLANTA,FULTON,GA,30328,
34,DENIED,12/29/2016,12/29/2016,H-1B,6/29/2017,6/28/2020,IBM CORPORATION,,3039 E CORNWALLIS RD,DURHAM,NC,27709,UNITED STATES OF AMERICA,,9192544342,,N,",",,,SENIOR TECHNICAL CONSULTANT,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",54151,1,1,0,0,0,0,0,Y,87859,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,87859,125300,Year,N,N,,,NA,DURHAM,DURHAM,NC,27709,
35,DENIED,2/2/2017,2/2/2017,H-1B,5/16/2017,5/15/2020,"THE BOARD OF TRUSTEES OF THE LELAND STANFORD, JR. UNIVERSITY",STANFORD UNIVERSITY,584 CAPISTRANO WAY,STANFORD,CA,94305,UNITED STATES OF AMERICA,,6507257400,,N,",",,,BIOINFORMATICS SPECIALIST,19-1029,"BIOLOGICAL SCIENTISTS, ALL OTHER",611310,1,0,0,1,0,0,0,Y,50627,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,78668.93,0,Year,N,N,,,NA,STANFORD,SANTA CLARA,CA,94305,
36,DENIED,3/17/2017,3/24/2017,H-1B,9/1/2017,8/31/2020,KEYMOUZ TECHNOLOGIES INC,,22214 HIGHLAND KNOLLS,KATY,TX,77450,UNITED STATES OF AMERICA,,2816072584,,N,",",,,SOFTWARE DEVELOPER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541511,1,1,0,0,0,0,0,Y,67184,Year,Level I,OES,2015,OFLC ONLINE DATA CENTER,68000,0,Year,N,N,,Y,NA,KATY,TEXAS,TX,77450,
37,DENIED,5/11/2017,5/15/2017,H-1B,5/23/2017,5/22/2020,IBM CORPORATION,,3039 E CORNWALLIS ROAD,DURHAM,NC,27709,UNITED STATES OF AMERICA,,9192544342,,N,",",,,ADVISORY IT SPECIALIST,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",54151,1,0,1,0,0,0,0,Y,90688,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,90688,120000,Year,N,N,,,NA,CHEVY CHASE,MONTGOMERY,MD,20815,
38,DENIED,2/21/2017,2/24/2017,H-1B,8/23/2017,8/23/2020,"GOLDEN STATE IMPORT & EXPORT ENTERPRISES, INC.",,1142 S DIAMOND BAR BLVD. STE. 397,DIAMOND BAR,CA,91765,UNITED STATES OF AMERICA,,9098607668,,Y,"LIN, DEBBY",WEST COVINA,CA,MANAGEMENT CONSULTANT,13-1111,MANAGEMENT ANALYSTS,541620,1,1,0,0,0,0,0,Y,40.24,Hour,,OES,2016,,40.24,43.9,Hour,N,N,,,NA,DIAMOND BAR,LOS ANGELES,CA,91765,
39,DENIED,3/24/2017,3/27/2017,H-1B,7/1/2017,7/1/2019,"NIXIE LABS, INC.",,140 E DANA STREET,MOUNTAIN VIEW,CA,94041,UNITED STATES OF AMERICA,,8018855731,,N,",",,,INTERACTIVE DESIGNER,27-1029,"DESIGNERS, ALL OTHER",541712,1,0,1,0,0,0,0,Y,100526,Year,Level IV,OES,2016,,110000,0,Year,N,N,,Y,NA,MOUNTAIN VIEW,CA,CA,94041,
40,DENIED,3/22/2017,3/22/2017,H-1B,9/17/2017,9/17/2020,MAXOTECH SOLUTIONS LLC,,1920 MCKINNEY AVE,DALLAS,TX,75201,UNITED STATES OF AMERICA,,2162125823,,N,",",,,PROGRAMMER ANALYST,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",54169,1,1,0,0,0,0,0,Y,68827,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,68827,75000,Year,N,N,,,NA,DALLAS,DALLAS,TX,75201,
41,DENIED,8/23/2017,8/24/2017,H-1B,8/23/2017,11/23/2017,DEX YELLOW PAGES,,2200 W. AIRFIELD DR.,D/FW AIRPORT,TX,75261-9810,,,,,,",",,,SENIOR SOFTWARE ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",51114,1,0,0,0,0,0,1,Y,102900,Year,,Other,2017,TOWERS WATSON PROFESSIONAL (TECHNICAL AND OPERATIONS) SURVEY,122033,0,Year,N,N,,,NA,GLENDALE,LOS ANGELES,CA,91203,
42,DENIED,2/14/2017,2/16/2017,H-1B,6/1/2017,5/30/2020,PANCY COFFMAN LLC,,8360 W SAHARA,LAS VEGAS,NV,89117,UNITED STATES OF AMERICA,,7025347878,,Y,"CHEN, ERIC",LAS VEGAS,NV,ACCOUNTANTS,13-2011,ACCOUNTANTS AND AUDITORS,5412,1,1,0,0,0,0,0,N,18.49,Hour,Level I,OES,2016,OFLC ONLINE DATA CENTER,18.5,0,Hour,N,N,,Y,NA,LAS VEGAS,CLARK,NV,89117,
43,DENIED,8/18/2014,7/21/2017,H-1B,2/17/2015,2/16/2018,"REALPAGE, INC.",,4000 INTERNATIONAL PARKWAY,CARROLLTON,TX,75007,,,,,,",",,,DEVELOPER III,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541511,1,0,1,0,0,0,0,Y,95077,Year,,OES,2014,OFLC ONLINE DATA CENTER,95077,105077,Year,N,N,,Y,NA,CAROLLTON,DENTON,TX,75007,
44,DENIED,2/2/2017,2/2/2017,H-1B,7/2/2017,7/1/2020,ST. JUDE CHILDREN'S RESEARCH HOSPITAL,,262 DANNY THOMAS PLACE,MEMPHIS,TN,38105,UNITED STATES OF AMERICA,,9015957781,,N,",",,,POSTDOCTORAL RESEARCH ASSOCIATE,19-1021,BIOCHEMISTS AND BIOPHYSICISTS,622310,1,1,0,0,0,0,0,Y,41434,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,48435,75000,Year,N,N,,Y,NA,MEMPHIS,SHELBY COUNTY,TN,38105,
45,DENIED,3/29/2017,4/4/2017,H-1B,4/3/2017,4/3/2019,TM BUSINESS SOLUTIONS INC.,,400 WESTMINSTER STREET SUITE 204,PROVIDENCE,RI,2903,UNITED STATES OF AMERICA,,4012299128,,N,",",,,CORPORATE TRAINER,41-9091,"DOOR-TO-DOOR SALES WORKERS, NEWS AND STREET",541613,1,0,1,0,0,0,0,Y,0,Week,,Other,2016,,500,0,Week,N,N,,,NA,PROVIDENCE,PROVIDENCE,RI,2903,
46,DENIED,5/15/2017,5/18/2017,H-1B,7/1/2017,6/30/2020,REGENT UNIVERSITY,,1000 REGENT UNIVERSITY DRIVE,VIRGINIA BEACH,VA,23464,UNITED STATES OF AMERICA,,7573524251,,Y,"VALVERDE, HUGO",VIRGINIA BEACH,VA,ASSISTANT PROFESSOR OF COMPUTER SCIENCE,25-1021,"COMPUTER SCIENCE TEACHERS, POSTSECONDARY",611310,1,1,0,0,0,0,0,Y,39140,Year,Level I,OES,2017,OFLC ONLINE DATA CENTER,118000,0,Year,N,N,,,NA,VIRGINIA BEACH,VIRGINIA,VA,23464,
47,DENIED,2/13/2017,2/13/2017,H-1B,7/1/2017,7/1/2020,CHICAOLAND INFECTIOUS DISEASE PC,,"430 E 162ND STREET, #487 SOUTH",HOLLAND,IL,60473,UNITED STATES OF AMERICA,,7088800559,,Y,"LINK, AMY",MIAMI,FL,INFECTIOUS DISEASE PHYSICIAN,29-1069,"PHYSICIANS AND SURGEONS, ALL OTHER",621111,1,0,0,0,0,1,0,Y,56701,Year,Level I,OES,2017,OFLC ONLINE DATA CENTER,180000,0,Year,N,N,,Y,NA,HARVEY,COOK COUNTY,IL,60426,
48,DENIED,9/8/2014,7/20/2017,H-1B,11/7/2014,4/30/2017,IBM INDIA PRIVATE LIMITED,,3039 E. CORNWALLIS RD.,DURHAM,NC,27709,,,,,,",",,,SAP BW ONSITE COORDINATOR,15-1121,COMPUTER SYSTEMS ANALYSTS,541510,1,0,1,0,0,0,0,Y,71261,Year,,OES,2014,OFLC ONLINE DATACENTER,77604,78799,Year,N,N,,,NA,MOUNDS VIEW,RAMSEY,MN,55112,
