Ob,CASE_SUBMITTED,DECISION_DATE,VISA_CLASS,EMPLOYMENT_START_DATE,EMPLOYMENT_END_DATE,EMPLOYER_NAME,EMPLOYER_BUSINESS_DBA,EMPLOYER_ADDRESS,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,AGENT_REPRESENTING_EMPLOYER,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_NAME,NAICS_CODE,TOTAL_WORKERS,NEW_EMPLOYMENT,CONTINUED_EMPLOYMENT,CHANGE_PREVIOUS_EMPLOYMENT,NEW_CONCURRENT_EMPLOYMENT,CHANGE_EMPLOYER,AMENDED_PETITION,FULL_TIME_POSITION,PREVAILING_WAGE,PW_UNIT_OF_PAY,PW_WAGE_LEVEL,PW_SOURCE,PW_SOURCE_YEAR,PW_SOURCE_OTHER,WAGE_RATE_OF_PAY_FROM,WAGE_RATE_OF_PAY_TO,WAGE_UNIT_OF_PAY,H1B_DEPENDENT,WILLFUL_VIOLATOR,SUPPORT_H1B,LABOR_CON_AGREE,PUBLIC_DISCLOSURE_LOCATION,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,ORIGINAL_CERT_DATE
11,3/29/2017,4/3/2017,H-1B,9/15/2017,9/14/2020,I28 TECHNOLOGIES CORPORATION,,200 MIDDLESEX ESSEX TPKE,ISELIN,NJ,8830,UNITED STATES OF AMERICA,,4088295165,NA,Y,"ALLEN, THOMAS",EDISON,NJ,DEVELOPER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541511,1,1,0,0,0,0,0,Y,68827,Year,,OES,2016,OFLC ONLINE DATA CENTER,69000,0,Year,Y,N,Y,Y,NA,FARMERS BRANCH,DALLAS,TX,75234,
12,2/27/2017,2/28/2017,H-1B,8/1/2017,8/1/2020,"TIMEDOC, INC.",,815 W WEED STREET,CHICAGO,IL,60642,UNITED STATES OF AMERICA,,6123828746,NA,N,",",,,SOFTWARE ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541511,1,1,0,0,0,0,0,Y,51418,Year,,OES,2016,,62000,0,Year,N,N,,Y,NA,CHICAGO,COOK,IL,60642,
13,5/16/2017,5/19/2017,H-1B,7/1/2017,6/30/2020,"ACUMEN, LLC",,500 AIRPORT BLVD,BURLINGAME,CA,94010,UNITED STATES OF AMERICA,,6505588882,NA,Y,"CRUSHA, JEFFREY",SAN FRANCISCO,CA,DATA AND POLICY ANALYST III,15-2031,OPERATIONS RESEARCH ANALYSTS,519190,1,0,0,0,0,0,1,Y,72301,Year,Level I,OES,2016,,72301,95000,Year,N,N,,Y,NA,WASHINGTON,DISTRICT OF COLUMBIA,DC,20001,
14,11/22/2016,11/28/2016,H-1B,12/1/2016,9/22/2019,MORNINGSTAR CAPITAL,,2208 125TH ST,COLLEGE POINT,NY,11356,UNITED STATES OF AMERICA,,5164922552,NA,N,",",,,FINANCIAL ANALYST,13-2051,FINANCIAL ANALYSTS,523930,1,0,0,0,0,1,0,Y,7.25,Hour,Level I,OES,2016,OFLC ONLINE DATA CENTER,32,0,Hour,N,N,,Y,NA,UNIONDALE,NASSAU,NY,11556,
15,3/30/2017,4/5/2017,H-1B,9/25/2017,9/25/2020,ASTRABIO INC,BIOSCIENCE LABORATORY,95 SEABIEW BLVD.,PORT WASHINGTON,NY,11050,UNITED STATES OF AMERICA,,5162009980,NA,Y,"SHANKAR, SWEEKRUTHA",NEW YORK,NY,BUSINESS SYSTEMS ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,541711,1,1,0,0,0,0,0,Y,54600,Year,Level I,Other,2017,WWW.FLCDATACENTER.COM,60000,0,Year,N,N,,Y,NA,PORT WASHINGTON,NASSAU,NY,11050,
16,10/14/2016,10/18/2016,E-3 Australian,2/20/2017,12/31/2018,GLOBAL BRAND ARCHITECTS,ARTISAN SHADES,4024 DUNBARTON CIRCLE,SAN RAMON,CA,94583,UNITED STATES OF AMERICA,,9252859470,NA,N,",",,,CO-FOUNDER AND BRAND AMBASSADOR,21-Nov,MARKETING MANAGERS,44612,1,1,0,0,0,0,0,Y,1.00E+05,Year,,Other,2016,INDUSTRY KNOWLEDGE AND EQUITY POSITION FOR EMPLOYEE,1.00E+05,0,Year,N,N,,Y,NA,SOUTHAMPTON,SUFFOLK,NY,11968,
17,1/29/2017,1/31/2017,H-1B,2/20/2017,2/20/2020,LEARNING COMET INC,LEARNING COMET,1468 REYNOSA LOOP SE,RIO RANCHO,NM,87124,UNITED STATES OF AMERICA,,5057302816,NA,N,",",,,SENIOR DEVELOPER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",611710,1,1,0,0,0,0,0,N,30.96,Hour,Level I,Other,2016,OFLC ONLINE DATA CENTER,35,0,Hour,N,N,,Y,NA,DEL MAR,CALIFORNIA,CA,92014,
18,4/21/2017,4/25/2017,H-1B,9/3/2017,9/2/2020,AXXESS CONSULT INC.,AXXESS HEALTHCARE CONSULT,16000 DALLAS PKWY,DALLAS,TX,75248,UNITED STATES OF AMERICA,,2145757711,NA,Y,"PEARCE, FRANK",PLANO,TX,SOFTWARE APPLICATIONS/C# .NET DEVELOPER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541512,1,0,1,0,0,0,0,Y,68827,Year,Level I,OES,2017,OFLC ONLINE DATA CENTER,85000,0,Year,N,N,,Y,NA,DALLAS,TEXAS,TX,75248,
19,10/18/2016,10/24/2016,H-1B,10/24/2016,10/24/2019,CJ 4DPLEX AMERICA INC,,5700 WILSHIRE BLVD,LOS ANGELES,CA,90036,UNITED STATES OF AMERICA,,2134068606,NA,Y,"NAM, SOO",NEW YORK,NY,INTERNATIONAL MEDIA DATA ANALYST,27-3099,"MEDIA AND COMMUNICATION WORKERS, ALL OTHER",541990,1,0,0,0,0,1,0,Y,26520,Year,Level I,Other,2016,OFLC ONLINE DATA CENTER,33000,43000,Year,N,N,,Y,NA,LOS ANGELES,ORANGE,CA,90036,
20,3/13/2017,3/15/2017,H-1B,4/1/2017,3/31/2020,UCRYA LLC,,390 N ORANGE AVE,ORLANDO,FL,32801,UNITED STATES OF AMERICA,,4073627691,NA,N,",",,,SOFTWARE DEVELOPER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",5416,1,1,0,0,0,0,0,Y,80000,Year,Level II,OES,2017,OFLC ONLINE DATA CENTER,80000,0,Year,N,N,,Y,NA,ORLANDO,FL,FL,32801,
21,5/9/2017,5/12/2017,H-1B,7/19/2017,7/18/2020,"AMERICLOUD SOLUTIONS, INC.","F&S CONSULTING, INC.",1635 WISE RD. SUITE 8,SCHAUMBURG,IL,60193,UNITED STATES OF AMERICA,,8473804180,NA,N,",",,,ELECTRICL ENGINEERS,17-2071,ELECTRICAL ENGINEERS,54151,1,0,1,0,0,0,0,Y,80642,Year,Level II,OES,2017,OFLC ONLINE DATA CENTER,80642,0,Year,N,N,Y,Y,NA,OVERLAND PARK,JOHNSON,KS,66204,
22,3/29/2017,4/3/2017,H-1B,9/17/2017,9/16/2020,"TOMAR CONSTRUCTION, LLC",,18 CONNERTY COURT,EAST BRUNSWICK,NJ,8816,UNITED STATES OF AMERICA,,7322380700,NA,Y,"CHEERATH, RAM",NEW YORK,NY,ENVIRONMENTAL SPECIALIST,19-2041,"ENVIRONMENTAL SCIENTISTS AND SPECIALISTS,",23799,1,1,1,0,0,0,0,Y,46446,Year,Level I,Other,2017,FLC DATA CENTER ONLINE WAGE LIBRARY,50253,0,Year,N,N,,Y,NA,EAST  BRUNSWICK,MIDDLESEX,NJ,8816,
23,3/7/2017,3/9/2017,H-1B,3/8/2017,3/7/2019,RENOWNED CORP,,"31 EAST, 32ND STREET",NEW YORK,NY,10016,UNITED STATES OF AMERICA,,6464166154,NA,N,",",,,PROJECT MANAGER,15-1199,"COMPUTER OCCUPATIONS, ALL OTHER",541511,1,0,0,0,0,1,0,Y,53200,Hour,Level I,OES,2016,OFLC ONLINE DAT CENTER,53200,0,Year,N,N,,,NA,NEW YORK,NEW YORK,NY,10016,
24,3/24/2017,3/27/2017,H-1B,9/20/2017,9/19/2020,LEAD IT CORPORATION,,1999 WABASH AVE SUITE 210,SPRINGFIELD,IL,62704,UNITED STATES OF AMERICA,,2177267250,NA,N,",",,,SR PROGRAMMER ANALYST,15-1131,COMPUTER PROGRAMMERS,541511,1,0,1,0,0,1,0,Y,75795,Year,Level II,OES,2016,OFLC ONLINE DATA CENTRE,75795,0,Year,Y,N,Y,Y,NA,JAMESBURG,MIDDLESEX COUNTY,NJ,8831,
25,4/19/2017,4/25/2017,E-3 Australian,7/1/2017,6/30/2019,YALE UNIVERSITY,,421 TEMPLE STREET,NEW HAVEN,CT,6511,UNITED STATES OF AMERICA,,2034322305,NA,N,",",,,ASSISTANT PROFESSOR,19-1042,"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS",611310,1,1,0,0,0,0,0,Y,41725,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,110000,0,Year,,,,,NA,NEW HAVEN,NEW HAVEN,CT,6519,
26,3/21/2017,3/27/2017,H-1B,9/19/2017,9/18/2020,"INFOSHARE SYSTEMS, INC.",,26040 ACERO,MISSION VIEJO,CA,92691,UNITED STATES OF AMERICA,,7146060005,NA,N,",",,,SR. APPLICATION DEVELOPER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541511,1,1,0,0,0,0,0,Y,72821,Year,Level I,OES,2016,,72821,0,Year,Y,N,Y,Y,NA,MISSION VIEJO,ORANGE,CA,92691,
27,2/26/2017,2/28/2017,H-1B,8/28/2017,8/27/2020,"NTT DATA SERVICES, LLC",,2300 WEST PLANO PARKWAY,PLANO,TX,75075,UNITED STATES OF AMERICA,,6175171483,NA,Y,"DALAL, AMY",RALEIGH,NC,SOFTWARE DEVELOPMENT ADVISOR,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541511,1,1,0,0,0,0,0,Y,92435,Year,Level III,OES,2016,OFLC ONLINE DATA CENTER,92435,122435,Year,N,N,,Y,NA,PHOENIX,MARICOPA,AZ,85013,
28,3/13/2017,3/16/2017,H-1B,9/11/2017,9/10/2020,SAMITI TECHNOLOGY INC.,,2 LINCOLN HIGHWAY,EDISON,NJ,8820,UNITED STATES OF AMERICA,,7325160066,NA,N,",",,,PROGRAMMER ANALYST,15-1131,COMPUTER PROGRAMMERS,541511,5,1,0,0,0,0,0,Y,54579,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,60000,0,Year,Y,N,Y,,NA,DEER PARK,SUFFOLK,NY,11729,
29,1/9/2017,1/12/2017,H-1B,1/10/2017,1/10/2020,ERNST & YOUNG U.S. LLP,,200 PLAZA DRIVE,SECAUCUS,NJ,7094,UNITED STATES OF AMERICA,,2018723003,NA,Y,"WALSH, MARC",TORONTO,,ASSURANCE STAFF,13-2011,ACCOUNTANTS AND AUDITORS,541211,1,0,0,0,0,0,1,Y,45261,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,49000,0,Year,N,N,,,NA,DES MOINES,POLK,IA,50392,
30,3/17/2017,3/23/2017,H-1B,8/1/2017,7/31/2020,"HAMMOND YOUNG IMMIGRATION LAW, LLC",,8737 COLESVILLE ROAD,SILVER SPRING,MD,20910,UNITED STATES OF AMERICA,,3019176900,NA,Y,"YOUNG, BECKI",SILVER SPRING,MD,IMMIGRATION TECHNOLOGY SPECIALIST (PARALEGALS AND,23-2011,PARALEGALS AND LEGAL ASSISTANTS,928120,1,1,0,0,0,0,0,Y,41309,Year,Level II,OES,2016,OFLCA ONLINE DATA CENTER,41309,55000,Year,N,N,,,NA,SILVER SPRING,MONTGOMERY,MD,20910,
31,7/7/2017,7/11/2017,H-1B,7/14/2017,7/14/2020,"ESSEN MEDICAL ASSOCIATES, P.C.",,3198 GRAND CONCOURSE,BRONX,NY,10458,,,,NA,,",",,,HEALTH EDUCATOR,21-1091,HEALTH EDUCATORS,621111,1,0,0,0,0,1,0,Y,38917,Year,,OES,2017,OFLC ONLINE DATA CENTER,46000,0,Year,N,N,,,NA,BRONX,BRONX,NY,10456,
32,11/4/2016,11/10/2016,H-1B,12/30/2016,12/30/2019,DANA-FARBER CANCER INSTITUTE,,450 BROOKLINE AVENUE,BOSTON,MA,2215,UNITED STATES OF AMERICA,,6176323063,NA,N,",",,,INSTRUCTOR (SCIENTIST),19-1042,"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS",541710,1,0,1,0,0,0,0,Y,69659,Year,Level II,Other,2016,ONLINE WAGE LIBRARY,69654,0,Year,N,N,,Y,NA,BOSTON,SUFFOLK,MA,2215,
33,12/13/2016,12/15/2016,E-3 Australian,1/25/2017,1/25/2019,"ILSLEY MUSIC, INC.",,12654 WASHINGTON BLVD.,LOS ANGELES,CA,90066,UNITED STATES OF AMERICA,,3105781932,NA,N,",",,,COMPOSER ASSISTANT,27-2041,MUSIC DIRECTORS AND COMPOSERS,711510,1,1,0,0,0,0,0,Y,17.56,Hour,,OES,2016,OFLC ONLINE DATA CENTER,17.56,0,Hour,,,,,NA,LOS ANGELES,LOS ANGELES,CA,90066,
34,2/8/2017,2/14/2017,H-1B,2/8/2017,10/11/2019,"LEVEL UP DEVELOPMENT, LLC",,217 W 10TH ST #115,INDIANAPOLIS,IN,46202,UNITED STATES OF AMERICA,,3174901559,NA,N,",",,,SOFTWARE QUALITY ENGINEER,15-1035,"SOFTWARE DEVELOPERS, APPLICATIONS, R&D",51121,1,0,1,0,0,0,0,Y,27.18,Hour,,DBA,2017,REGISTER OF WAGE DETERMINATIONS UNDER  |        U.S. DEPARTMENT OF LABOR,72500,0,Year,N,N,,Y,NA,INDIANAPOLIS,IN,IN,46202,
35,5/10/2017,5/16/2017,E-3 Australian,10/1/2017,10/1/2019,PRIMARY COLOR,,265 BRIGGS AVENUE,COSTA MESA,CA,92626,UNITED STATES OF AMERICA,,9496607080,NA,N,",",,,MARKETING AUTOMATION COORDINATOR,13-1161,MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,32311,1,0,1,0,0,0,0,Y,33.19,Hour,Level II,OES,2016,OFLC ONLINE DATA CENTER,60000,0,Year,,,,,NA,COSTA MESA,ORANGE,CA,92626,
36,4/12/2017,4/17/2017,E-3 Australian,4/17/2017,4/17/2019,"THE ANNE FRANK CENTER USA, INC",,1325 AVENUE OF THE AMERICAS,NEW YORK,NY,10019,UNITED STATES OF AMERICA,,2124317993,NA,N,",",,,DIRECTOR OF COMMUNICATIONS,27-3099,"MEDIA AND COMMUNICATION WORKERS, ALL OTHER",81331,1,1,0,0,0,0,0,Y,49390,Year,,OES,2016,,47000,50000,Year,,,,,NA,NEW YORK,NEW YORK,NY,10019,
37,3/10/2017,3/14/2017,H-1B,3/13/2017,3/12/2020,"SAMSUNG ELECTRONICS AMERICA, INC.",,85 CHALLENGER ROAD,RIDGEFIELD PARK,NJ,7660,UNITED STATES OF AMERICA,,2012294000,NA,Y,"HEALY, ELISE",DALLAS,TX,SENIOR QA ENGINEER,15-1121,COMPUTER SYSTEMS ANALYSTS,425110,1,0,0,0,0,1,0,Y,62754,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,76500,0,Year,N,N,,,NA,RICHARDSON,COLLIN,TX,75082,
38,3/22/2017,3/29/2017,H-1B,6/1/2017,1/5/2018,ZION INFO SYSTEMS LLC,,16192 COASTAL HWY,LEWES,DE,19958,UNITED STATES OF AMERICA,,8145965024,NA,N,",",,,MECHANICAL ENGINEER,Nov-41,ARCHITECTURAL AND ENGINEERING MANAGERS,561320,10,10,0,0,0,0,0,Y,80,Hour,Level IV,CBA,2016,OFLC ONLINE DATA CENTER,70,95,Hour,Y,Y,Y,Y,NA,MACOMB,MACOMB,MI,48044,
39,11/8/2016,11/10/2016,H-1B,11/30/2016,11/30/2019,GREEN MEADOW SCHOOL,GREEN MEADOW ACADEMY,PO BOX 502862,SAIPAN,MP,96950,UNITED STATES OF AMERICA,,6702352185,NA,Y,"PANTALEON, JESUS",SAIPAN,MP,"TEACHER, ELEMENTARY",25-2023,"CAREER/TECHNICAL  EDUCATION TEACHERS, MIDDLE",61111,6,6,0,0,0,0,0,N,12,Hour,,Other,2015,CNMI DEPARTMENT OF COMMERCE (PWWAS),12,14,Hour,N,N,,Y,NA,SAIPAN,,MP,96950,
40,1/3/2017,1/5/2017,H-1B,7/5/2017,6/29/2020,IBM INDIA PRIVATE LIMITED,,3039 CORNWALLIS ROAD,DURHAM,NC,27709,UNITED STATES OF AMERICA,,9192541582,NA,N,",",,,SENIOR SOLUTION MANAGER,15-1199,"COMPUTER OCCUPATIONS, ALL OTHER",54151,1,1,0,0,0,0,0,Y,90376,Year,Level III,OES,2016,OFLC ONLINE DATA CENTER,78506,0,Year,N,N,,,NA,PISCATAWAY,MIDDLESEX,NJ,8854,
41,3/3/2017,3/7/2017,H-1B,1/10/2017,1/5/2018,ZION INFO SYSTEMS LLC,,16192 COASTAL HWY,LEWES,DE,19958,UNITED STATES OF AMERICA,,8145965024,NA,N,",",,,TECHNO FUNCTIONAL PROFESSIONAL,17-2111,"HEALTH AND SAFETY ENGINEERS, EXCEPT MINING SAFETY",561320,5,5,0,0,0,0,0,Y,80,Hour,Level IV,OES,2015,OFLC ONLINE DATA CENTER,70,95,Hour,Y,N,Y,Y,NA,DURHAM,DURHAM,NC,27704,
42,3/16/2017,3/22/2017,H-1B,9/15/2017,9/15/2020,UNITED GLASS & CERAMICS,INTERNATIONAL GLASS & CERAMICS,1495 E FRANCIS STREET,ONTARIO,CA,91761,UNITED STATES OF AMERICA,,9097864298,NA,Y,"WANG, DOMINO",SAN MARINO,CA,QUALITY ENGINEER,17-2112,INDUSTRIAL ENGINEERS,424990,1,1,0,0,0,0,0,Y,52686,Year,Level I,OES,2017,OFLC ONLINE DATA CENTER,52686,0,Year,N,N,,Y,NA,ONTARIO,SAN BERNARDINO,CA,91761,
43,7/24/2017,7/26/2017,H-1B,11/28/2017,11/28/2020,ARICENT N.A. INC.,,3979 FREEDOM CIRCLE,SANTA CLARA,CA,95054,,,,NA,,",",,,ASIC  DESIGN VERIFICATION ENGINEER III,17-2072,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER",541330,1,0,1,0,0,0,0,Y,133910,Year,,OES,2017,OFLC ONLINE DATA CENTER,113910,157018,Year,Y,N,Y,,NA,SANTA CLARA,SANTA CLARA,CA,95054,
44,9/22/2017,9/25/2017,H-1B,9/22/2017,9/21/2020,CAPGEMINI AMERICA INC,,333 WEST WACKER DRIVE,CHICAGO,IL,60606,,,,NA,,",",,,PROGRAMMER/ DEVELOPER 2,15-1131,COMPUTER PROGRAMMERS,5416,3,0,1,0,0,1,1,Y,67101,Year,,OES,2017,OFLC ONLINE DATA CENTER,65000,0,Year,Y,N,Y,,NA,RIVERWOODS,LAKE,IL,60015,
45,1/17/2017,1/18/2017,E-3 Australian,2/13/2017,2/12/2019,AECOM TECHNICAL SERVICES INC.,,4840 COX ROAD,GLEN ALLEN,VA,23060,UNITED STATES OF AMERICA,,8045158514,NA,Y,"TAYLOR, PAIGE",ADDISON,TX,"AREA DIRECTOR, LOS ANGELES PMCM",19-3051,URBAN AND REGIONAL PLANNERS,541330,1,1,0,0,0,0,0,Y,94058,Year,,OES,2016,OFLC ONLINE DATA CENTER,153300,283700,Year,,,,,NA,LOS ANGELES,LOS ANGELES,CA,90071,
46,3/4/2017,3/8/2017,H-1B,7/1/2017,6/30/2020,MID MICHIGAN COMMUNITY COLLEGE,,1375 S. CLARE AVE.,HARRISON,MI,48625,UNITED STATES OF AMERICA,,9893866622,621,N,",",,,INTERNATIONAL PROGRAMS COORDINATOR,21-1012,"EDUCATIONAL, GUIDANCE, SCHOOL, AND VOCATIONAL",611210,1,1,0,0,0,0,0,Y,39874,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,39702,49947,Year,N,N,,Y,NA,HARRISON,CLARE,MI,48625,
47,11/7/2016,11/9/2016,E-3 Australian,11/18/2016,11/18/2018,RED HOOK INITIATIVE,,767 HICKS STREET,BROOKLYN,NY,11231,UNITED STATES OF AMERICA,,7188586782,NA,N,",",,,CHIEF PROGRAM OFFICER,Nov-99,"MANAGERS, ALL OTHER",6117,1,1,0,0,0,0,0,Y,108680,Year,Level II,Other,2016,"FOREIGN LABOR CERTIFICATION DATA CENTER, ONLINE WAGE LIBRARY",115000,0,Year,,,,,NA,BROOKLYN,KINGS,NY,11231,
